bell_curve_freq,switch_wins_counting_list,stay_wins_counting_list,random_wins_counting_list,exp_index,switch_winning_percentages,stay_winning_percentages,random_winning_percentages,stay_winning_percent.,pie_chart_measures,,,trial
35,269086,134260,201793,403000,66.6,35,51.9,,,,,404
35.5,269764,134615,202297,404000,67.8,35.5,50.4,,,,,405
35.2,270397,134967,202794,405000,63.3,35.2,49.7,,,,,406
32.8,271071,135295,203294,406000,67.4,32.8,50,,,,,407
32.4,271773,135619,203778,407000,70.2,32.4,48.4,,,,,408
33.2,272460,135951,204312,408000,68.7,33.2,53.4,,,,,409
33.5,273128,136286,204809,409000,66.8,33.5,49.7,,,,,410
34.7,273798,136633,205278,410000,67,34.7,46.9,,,,,411
36.1,274464,136994,205764,411000,66.6,36.1,48.6,,,,,412
36.1,275112,137355,206270,412000,64.8,36.1,50.6,,,,,413
33.1,275793,137686,206768,413000,68.1,33.1,49.8,,,,,414
34.6,276467,138032,207280,414000,67.4,34.6,51.2,,,,,415
33.1,277160,138363,207769,415000,69.3,33.1,48.9,,,,,416
36.4,277834,138727,208278,416000,67.4,36.4,50.9,,,,,417
31.6,278507,139043,208783,417000,67.3,31.6,50.5,,,,,418
34.5,279175,139388,209292,418000,66.8,34.5,50.9,,,,,419
33.5,279830,139723,209763,419000,65.5,33.5,47.1,,,,,420
33.2,280505,140055,210261,420000,67.5,33.2,49.8,,,,,421
30.5,281171,140360,210777,421000,66.6,30.5,51.6,,,,,422
32.7,281845,140687,211301,422000,67.4,32.7,52.4,,,,,423
33.2,282504,141019,211800,423000,65.9,33.2,49.9,,,,,424
33.3,283175,141352,212306,424000,67.1,33.3,50.6,,,,,425
32.7,283862,141679,212814,425000,68.7,32.7,50.8,,,,,426
30.2,284529,141981,213315,426000,66.7,30.2,50.1,,,,,427
34.9,285180,142330,213795,427000,65.1,34.9,48,,,,,428
32.6,285822,142656,214299,428000,64.2,32.6,50.4,,,,,429
32,286480,142976,214824,429000,65.8,32,52.5,,,,,430
34.7,287117,143323,215339,430000,63.7,34.7,51.5,,,,,431
31.4,287794,143637,215826,431000,67.7,31.4,48.7,,,,,432
33.6,288458,143973,216353,432000,66.4,33.6,52.7,,,,,433
36.3,289117,144336,216825,433000,65.9,36.3,47.2,,,,,434
36.2,289769,144698,217337,434000,65.2,36.2,51.2,,,,,435
34.9,290438,145047,217851,435000,66.9,34.9,51.4,,,,,436
32,291116,145367,218336,436000,67.8,32,48.5,,,,,437
31.5,291765,145682,218852,437000,64.9,31.5,51.6,,,,,438
33.9,292444,146021,219366,438000,67.9,33.9,51.4,,,,,439
33.4,293082,146355,219876,439000,63.8,33.4,51,,,,,440
35.4,293755,146709,220362,440000,67.3,35.4,48.6,,,,,441
32.9,294436,147038,220879,441000,68.1,32.9,51.7,,,,,442
32.6,295113,147364,221379,442000,67.7,32.6,50,,,,,443
32.1,295763,147685,221891,443000,65,32.1,51.2,,,,,444
33,296433,148015,222375,444000,67,33,48.4,,,,,445
32.1,297144,148336,222886,445000,71.1,32.1,51.1,,,,,446
35.1,297804,148687,223359,446000,66,35.1,47.3,,,,,447
34.8,298456,149035,223885,447000,65.2,34.8,52.6,,,,,448
33,299121,149365,224355,448000,66.5,33,47,,,,,449
34.3,299794,149708,224854,449000,67.3,34.3,49.9,,,,,450
36.6,300456,150074,225355,450000,66.2,36.6,50.1,,,,,451
32.3,301116,150397,225878,451000,66,32.3,52.3,,,,,452
32.5,301759,150722,226374,452000,64.3,32.5,49.6,,,,,453
31.5,302457,151037,226880,453000,69.8,31.5,50.6,,,,,454
29.7,303127,151334,227404,454000,67,29.7,52.4,,,,,455
32.9,303803,151663,227898,455000,67.6,32.9,49.4,,,,,456
31,304480,151973,228386,456000,67.7,31,48.8,,,,,457
31.9,305127,152292,228874,457000,64.7,31.9,48.8,,,,,458
35.2,305781,152644,229386,458000,65.4,35.2,51.2,,,,,459
33.7,306455,152981,229887,459000,67.4,33.7,50.1,,,,,460
33.5,307129,153316,230395,460000,67.4,33.5,50.8,,,,,461
30.4,307772,153620,230869,461000,64.3,30.4,47.4,,,,,462
32.1,308443,153941,231354,462000,67.1,32.1,48.5,,,,,463
34.5,309121,154286,231863,463000,67.8,34.5,50.9,,,,,464
34,309781,154626,232383,464000,66,34,52,,,,,465
32.9,310460,154955,232857,465000,67.9,32.9,47.4,,,,,466
33.1,311119,155286,233361,466000,65.9,33.1,50.4,,,,,467
33.8,311796,155624,233882,467000,67.7,33.8,52.1,,,,,468
31.3,312457,155937,234383,468000,66.1,31.3,50.1,,,,,469
34.4,313131,156281,234861,469000,67.4,34.4,47.8,,,,,470
35.6,313785,156637,235380,470000,65.4,35.6,51.9,,,,,471
34.6,314452,156983,235881,471000,66.7,34.6,50.1,,,,,472
30.2,315088,157285,236404,472000,63.6,30.2,52.3,,,,,473
33.5,315746,157620,236910,473000,65.8,33.5,50.6,,,,,474
33.6,316418,157956,237429,474000,67.2,33.6,51.9,,,,,475
31.5,317062,158271,237928,475000,64.4,31.5,49.9,,,,,476
33.9,317724,158610,238419,476000,66.2,33.9,49.1,,,,,477
34.8,318389,158958,238923,477000,66.5,34.8,50.4,,,,,478
34.9,319045,159307,239429,478000,65.6,34.9,50.6,,,,,479
34.7,319733,159654,239933,479000,68.8,34.7,50.4,,,,,480
33.4,320408,159988,240437,480000,67.5,33.4,50.4,,,,,481
31.7,321085,160305,240918,481000,67.7,31.7,48.1,,,,,482
32.8,321760,160633,241402,482000,67.5,32.8,48.4,,,,,483
33,322402,160963,241905,483000,64.2,33,50.3,,,,,484
31.6,323082,161279,242395,484000,68,31.6,49,,,,,485
34.1,323770,161620,242874,485000,68.8,34.1,47.9,,,,,486
32.7,324405,161947,243364,486000,63.5,32.7,49,,,,,487
34.5,325056,162292,243863,487000,65.1,34.5,49.9,,,,,488
34.6,325717,162638,244391,488000,66.1,34.6,52.8,,,,,489
34.3,326370,162981,244886,489000,65.3,34.3,49.5,,,,,490
32.6,327062,163307,245401,490000,69.2,32.6,51.5,,,,,491
34.9,327729,163656,245897,491000,66.7,34.9,49.6,,,,,492
35.9,328398,164015,246384,492000,66.9,35.9,48.7,,,,,493
34.8,329046,164363,246883,493000,64.8,34.8,49.9,,,,,494
36.1,329689,164724,247367,494000,64.3,36.1,48.4,,,,,495
33.3,330326,165057,247847,495000,63.7,33.3,48,,,,,496
37.2,330999,165429,248352,496000,67.3,37.2,50.5,,,,,497
32.3,331627,165752,248877,497000,62.8,32.3,52.5,,,,,498
32,332287,166072,249380,498000,66,32,50.3,,,,,499
33.3,332939,166405,249864,499000,65.2,33.3,48.4,,,,,500
30.4,333585,166709,250353,500000,64.6,30.4,48.9,,,,,501
35.6,334240,167065,250844,501000,65.5,35.6,49.1,,,,,502
31.1,334895,167376,251334,502000,65.5,31.1,49,,,,,503
33.8,335589,167714,251837,503000,69.4,33.8,50.3,,,,,504
31,336253,168024,252328,504000,66.4,31,49.1,,,,,505
31,336921,168334,252849,505000,66.8,31,52.1,,,,,506
31.2,337559,168646,253372,506000,63.8,31.2,52.3,,,,,507
33.7,338215,168983,253886,507000,65.6,33.7,51.4,,,,,508
32.2,338894,169305,254388,508000,67.9,32.2,50.2,,,,,509
31.5,339534,169620,254916,509000,64,31.5,52.8,,,,,510
33.2,340183,169952,255389,510000,64.9,33.2,47.3,,,,,511
33.6,340875,170288,255916,511000,69.2,33.6,52.7,,,,,512
33,341511,170618,256409,512000,63.6,33,49.3,,,,,513
35.1,342220,170969,256899,513000,70.9,35.1,49,,,,,514
33.6,342884,171305,257404,514000,66.4,33.6,50.5,,,,,515
32.4,343572,171629,257895,515000,68.8,32.4,49.1,,,,,516
32,344239,171949,258392,516000,66.7,32,49.7,,,,,517
33.7,344906,172286,258865,517000,66.7,33.7,47.3,,,,,518
33.8,345562,172624,259379,518000,65.6,33.8,51.4,,,,,519
33.1,346208,172955,259867,519000,64.6,33.1,48.8,,,,,520
32.4,346870,173279,260376,520000,66.2,32.4,50.9,,,,,521
33.9,347534,173618,260859,521000,66.4,33.9,48.3,,,,,522
34.8,348212,173966,261328,522000,67.8,34.8,46.9,,,,,523
33.7,348867,174303,261820,523000,65.5,33.7,49.2,,,,,524
33.4,349517,174637,262329,524000,65,33.4,50.9,,,,,525
33.3,350183,174970,262838,525000,66.6,33.3,50.9,,,,,526
33,350862,175300,263337,526000,67.9,33,49.9,,,,,527
31.9,351552,175619,263824,527000,69,31.9,48.7,,,,,528
33.9,352218,175958,264319,528000,66.6,33.9,49.5,,,,,529
32,352897,176278,264805,529000,67.9,32,48.6,,,,,530
34.7,353556,176625,265298,530000,65.9,34.7,49.3,,,,,531
34.6,354241,176971,265817,531000,68.5,34.6,51.9,,,,,532
33.3,354897,177304,266310,532000,65.6,33.3,49.3,,,,,533
34.1,355561,177645,266817,533000,66.4,34.1,50.7,,,,,534
32.9,356217,177974,267290,534000,65.6,32.9,47.3,,,,,535
34.9,356898,178323,267800,535000,68.1,34.9,51,,,,,536
31.3,357562,178636,268280,536000,66.4,31.3,48,,,,,537
33,358220,178966,268783,537000,65.8,33,50.3,,,,,538
29.2,358891,179258,269259,538000,67.1,29.2,47.6,,,,,539
32.3,359587,179581,269759,539000,69.6,32.3,50,,,,,540
32.2,360258,179903,270270,540000,67.1,32.2,51.1,,,,,541
36.1,360951,180264,270767,541000,69.3,36.1,49.7,,,,,542
34,361615,180604,271269,542000,66.4,34,50.2,,,,,543
32.4,362250,180928,271759,543000,63.5,32.4,49,,,,,544
33,362927,181258,272256,544000,67.7,33,49.7,,,,,545
36.1,363566,181619,272760,545000,63.9,36.1,50.4,,,,,546
33,364243,181949,273236,546000,67.7,33,47.6,,,,,547
34.4,364920,182293,273744,547000,67.7,34.4,50.8,,,,,548
34.8,365611,182641,274215,548000,69.1,34.8,47.1,,,,,549
33.5,366279,182976,274738,549000,66.8,33.5,52.3,,,,,550
34.1,366954,183317,275257,550000,67.5,34.1,51.9,,,,,551
33,367636,183647,275726,551000,68.2,33,46.9,,,,,552
33.2,368288,183979,276228,552000,65.2,33.2,50.2,,,,,553
31.7,368951,184296,276737,553000,66.3,31.7,50.9,,,,,554
37.5,369631,184671,277252,554000,68,37.5,51.5,,,,,555
32.3,370307,184994,277773,555000,67.6,32.3,52.1,,,,,556
33.7,371004,185331,278275,556000,69.7,33.7,50.2,,,,,557
32.7,371682,185658,278785,557000,67.8,32.7,51,,,,,558
36.2,372353,186020,279273,558000,67.1,36.2,48.8,,,,,559
36.3,373038,186383,279765,559000,68.5,36.3,49.2,,,,,560
36,373716,186743,280230,560000,67.8,36,46.5,,,,,561
32.1,374355,187064,280701,561000,63.9,32.1,47.1,,,,,562
33.2,375056,187396,281204,562000,70.1,33.2,50.3,,,,,563
32.4,375734,187720,281684,563000,67.8,32.4,48,,,,,564
33.9,376392,188059,282178,564000,65.8,33.9,49.4,,,,,565
33.9,377071,188398,282709,565000,67.9,33.9,53.1,,,,,566
31.5,377730,188713,283187,566000,65.9,31.5,47.8,,,,,567
31.3,378414,189026,283693,567000,68.4,31.3,50.6,,,,,568
30.8,379041,189334,284178,568000,62.7,30.8,48.5,,,,,569
36.6,379703,189700,284687,569000,66.2,36.6,50.9,,,,,570
36,380358,190060,285189,570000,65.5,36,50.2,,,,,571
31.3,381046,190373,285680,571000,68.8,31.3,49.1,,,,,572
34.3,381681,190716,286170,572000,63.5,34.3,49,,,,,573
34.4,382349,191060,286669,573000,66.8,34.4,49.9,,,,,574
33.3,383018,191393,287148,574000,66.9,33.3,47.9,,,,,575
33.7,383671,191730,287645,575000,65.3,33.7,49.7,,,,,576
34.7,384334,192077,288152,576000,66.3,34.7,50.7,,,,,577
33.7,385011,192414,288636,577000,67.7,33.7,48.4,,,,,578
35.1,385697,192765,289126,578000,68.6,35.1,49,,,,,579
32.7,386363,193092,289613,579000,66.6,32.7,48.7,,,,,580
32.8,386997,193420,290093,580000,63.4,32.8,48,,,,,581
33.9,387663,193759,290595,581000,66.6,33.9,50.2,,,,,582
32.1,388337,194080,291089,582000,67.4,32.1,49.4,,,,,583
34.2,388988,194422,291606,583000,65.1,34.2,51.7,,,,,584
34.5,389667,194767,292100,584000,67.9,34.5,49.4,,,,,585
33.7,390309,195104,292586,585000,64.2,33.7,48.6,,,,,586
30.7,390995,195411,293068,586000,68.6,30.7,48.2,,,,,587
32.5,391666,195736,293565,587000,67.1,32.5,49.7,,,,,588
33.3,392335,196069,294046,588000,66.9,33.3,48.1,,,,,589
33.2,392969,196401,294505,589000,63.4,33.2,45.9,,,,,590
31.9,393634,196720,295014,590000,66.5,31.9,50.9,,,,,591
33.4,394301,197054,295487,591000,66.7,33.4,47.3,,,,,592
33.6,394944,197390,295943,592000,64.3,33.6,45.6,,,,,593
34.6,395588,197736,296447,593000,64.4,34.6,50.4,,,,,594
33.5,396238,198071,296931,594000,65,33.5,48.4,,,,,595
32.8,396915,198399,297451,595000,67.7,32.8,52,,,,,596
35.5,397614,198754,297922,596000,69.9,35.5,47.1,,,,,597
33.8,398302,199092,298442,597000,68.8,33.8,52,,,,,598
33.6,398976,199428,298955,598000,67.4,33.6,51.3,,,,,599
31.1,399632,199739,299450,599000,65.6,31.1,49.5,,,,,600
35,400312,200089,299954,600000,68,35,50.4,,,,,601
34.1,400962,200430,300461,601000,65,34.1,50.7,,,,,602
31.7,401612,200747,300952,602000,65,31.7,49.1,,,,,603
35.2,402290,201099,301435,603000,67.8,35.2,48.3,,,,,604
36.3,402948,201462,301922,604000,65.8,36.3,48.7,,,,,605
32.2,403608,201784,302441,605000,66,32.2,51.9,,,,,606
35.2,404269,202136,302954,606000,66.1,35.2,51.3,,,,,607
33.9,404950,202475,303452,607000,68.1,33.9,49.8,,,,,608
32.6,405616,202801,303944,608000,66.6,32.6,49.2,,,,,609
34,406267,203141,304450,609000,65.1,34,50.6,,,,,610
35.8,406926,203499,304944,610000,65.9,35.8,49.4,,,,,611
34.9,407605,203848,305442,611000,67.9,34.9,49.8,,,,,612
33.6,408252,204184,305968,612000,64.7,33.6,52.6,,,,,613
33.8,408925,204522,306475,613000,67.3,33.8,50.7,,,,,614
31.8,409581,204840,306982,614000,65.6,31.8,50.7,,,,,615
33.6,410281,205176,307499,615000,70,33.6,51.7,,,,,616
33.8,410931,205514,308031,616000,65,33.8,53.2,,,,,617
32.9,411600,205843,308532,617000,66.9,32.9,50.1,,,,,618
32.9,412244,206172,309033,618000,64.4,32.9,50.1,,,,,619
32.6,412925,206498,309549,619000,68.1,32.6,51.6,,,,,620
34,413595,206838,310035,620000,67,34,48.6,,,,,621
30.7,414236,207145,310538,621000,64.1,30.7,50.3,,,,,622
33.2,414914,207477,311017,622000,67.8,33.2,47.9,,,,,623
31.5,415565,207792,311514,623000,65.1,31.5,49.7,,,,,624
30.8,416204,208100,312035,624000,63.9,30.8,52.1,,,,,625
32.9,416880,208429,312565,625000,67.6,32.9,53,,,,,626
32.9,417538,208758,313059,626000,65.8,32.9,49.4,,,,,627
31.8,418221,209076,313540,627000,68.3,31.8,48.1,,,,,628
29.5,418924,209371,314051,628000,70.3,29.5,51.1,,,,,629
30.1,419579,209672,314524,629000,65.5,30.1,47.3,,,,,630
33.7,420237,210009,315032,630000,65.8,33.7,50.8,,,,,631
35.1,420938,210360,315529,631000,70.1,35.1,49.7,,,,,632
34.1,421627,210701,316063,632000,68.9,34.1,53.4,,,,,633
32.3,422329,211024,316571,633000,70.2,32.3,50.8,,,,,634
33.1,423013,211355,317084,634000,68.4,33.1,51.3,,,,,635
32.7,423675,211682,317575,635000,66.2,32.7,49.1,,,,,636
29.7,424355,211979,318064,636000,68,29.7,48.9,,,,,637
34.5,425031,212324,318554,637000,67.6,34.5,49,,,,,638
34,425692,212664,319057,638000,66.1,34,50.3,,,,,639
33.2,426358,212996,319559,639000,66.6,33.2,50.2,,,,,640
31.3,427035,213309,320050,640000,67.7,31.3,49.1,,,,,641
32.2,427700,213631,320548,641000,66.5,32.2,49.8,,,,,642
33.7,428401,213968,321020,642000,70.1,33.7,47.2,,,,,643
32,429084,214288,321521,643000,68.3,32,50.1,,,,,644
35,429738,214638,322055,644000,65.4,35,53.4,,,,,645
32.1,430437,214959,322581,645000,69.9,32.1,52.6,,,,,646
32.3,431109,215282,323108,646000,67.2,32.3,52.7,,,,,647
34.9,431763,215631,323614,647000,65.4,34.9,50.6,,,,,648
30.3,432436,215934,324092,648000,67.3,30.3,47.8,,,,,649
33.9,433100,216273,324591,649000,66.4,33.9,49.9,,,,,650
33.4,433748,216607,325084,650000,64.8,33.4,49.3,,,,,651
33.7,434436,216944,325547,651000,68.8,33.7,46.3,,,,,652
36.5,435110,217309,326038,652000,67.4,36.5,49.1,,,,,653
32.1,435770,217630,326555,653000,66,32.1,51.7,,,,,654
33.4,436439,217964,327053,654000,66.9,33.4,49.8,,,,,655
33.1,437097,218295,327553,655000,65.8,33.1,50,,,,,656
34.4,437750,218639,328024,656000,65.3,34.4,47.1,,,,,657
33.2,438383,218971,328562,657000,63.3,33.2,53.8,,,,,658
32.8,439065,219299,329026,658000,68.2,32.8,46.4,,,,,659
33.3,439755,219632,329538,659000,69,33.3,51.2,,,,,660
33.4,440407,219966,330045,660000,65.2,33.4,50.7,,,,,661
33.4,441067,220300,330539,661000,66,33.4,49.4,,,,,662
35,441736,220650,331035,662000,66.9,35,49.6,,,,,663
33.5,442429,220985,331529,663000,69.3,33.5,49.4,,,,,664
32,443089,221305,332032,664000,66,32,50.3,,,,,665
31.7,443737,221622,332562,665000,64.8,31.7,53,,,,,666
34.3,444399,221965,333045,666000,66.2,34.3,48.3,,,,,667
35,445062,222315,333533,667000,66.3,35,48.8,,,,,668
35.1,445723,222666,334023,668000,66.1,35.1,49,,,,,669
32.7,446394,222993,334526,669000,67.1,32.7,50.3,,,,,670
33.8,447069,223331,335023,670000,67.5,33.8,49.7,,,,,671
33.5,447734,223666,335511,671000,66.5,33.5,48.8,,,,,672
31,448415,223976,335999,672000,68.1,31,48.8,,,,,673
34.3,449100,224319,336494,673000,68.5,34.3,49.5,,,,,674
34.6,449783,224665,336999,674000,68.3,34.6,50.5,,,,,675
32.3,450452,224988,337489,675000,66.9,32.3,49,,,,,676
32.5,451101,225313,338005,676000,64.9,32.5,51.6,,,,,677
34.5,451777,225658,338520,677000,67.6,34.5,51.5,,,,,678
34.7,452435,226005,339031,678000,65.8,34.7,51.1,,,,,679
33.5,453090,226340,339518,679000,65.5,33.5,48.7,,,,,680
34.1,453752,226681,340001,680000,66.2,34.1,48.3,,,,,681
33.1,454443,227012,340486,681000,69.1,33.1,48.5,,,,,682
31.1,455121,227323,340973,682000,67.8,31.1,48.7,,,,,683
32.4,455818,227647,341488,683000,69.7,32.4,51.5,,,,,684
33.4,456515,227981,342005,684000,69.7,33.4,51.7,,,,,685
36.5,457169,228346,342519,685000,65.4,36.5,51.4,,,,,686
33.9,457855,228685,343013,686000,68.6,33.9,49.4,,,,,687
33,458485,229015,343495,687000,63,33,48.2,,,,,688
34.9,459146,229364,343961,688000,66.1,34.9,46.6,,,,,689
33.6,459778,229700,344469,689000,63.2,33.6,50.8,,,,,690
31.1,460473,230011,344976,690000,69.5,31.1,50.7,,,,,691
32.8,461143,230339,345478,691000,67,32.8,50.2,,,,,692
33.9,461799,230678,345985,692000,65.6,33.9,50.7,,,,,693
33.5,462467,231013,346478,693000,66.8,33.5,49.3,,,,,694
33.4,463138,231347,346987,694000,67.1,33.4,50.9,,,,,695
34.3,463813,231690,347491,695000,67.5,34.3,50.4,,,,,696
32.5,464483,232015,347992,696000,67,32.5,50.1,,,,,697
32.1,465139,232336,348438,697000,65.6,32.1,44.6,,,,,698
33,465818,232666,348938,698000,67.9,33,50,,,,,699
34.3,466468,233009,349434,699000,65,34.3,49.6,,,,,700
34,467120,233349,349929,700000,65.2,34,49.5,,,,,701
35.1,467799,233700,350463,701000,67.9,35.1,53.4,,,,,702
33.6,468466,234036,350964,702000,66.7,33.6,50.1,,,,,703
31.5,469127,234351,351446,703000,66.1,31.5,48.2,,,,,704
33.4,469784,234685,351939,704000,65.7,33.4,49.3,,,,,705
32,470475,235005,352457,705000,69.1,32,51.8,,,,,706
33.4,471127,235339,352975,706000,65.2,33.4,51.8,,,,,707
34.4,471806,235683,353496,707000,67.9,34.4,52.1,,,,,708
30.6,472483,235989,354014,708000,67.7,30.6,51.8,,,,,709
37.1,473164,236360,354516,709000,68.1,37.1,50.2,,,,,710
34.7,473813,236707,354988,710000,64.9,34.7,47.2,,,,,711
32.6,474486,237033,355498,711000,67.3,32.6,51,,,,,712
31.5,475124,237348,356004,712000,63.8,31.5,50.6,,,,,713
31.6,475808,237664,356529,713000,68.4,31.6,52.5,,,,,714
31.5,476461,237979,357036,714000,65.3,31.5,50.7,,,,,715
32.8,477113,238307,357527,715000,65.2,32.8,49.1,,,,,716
35.4,477777,238661,358033,716000,66.4,35.4,50.6,,,,,717
30.3,478430,238964,358559,717000,65.3,30.3,52.6,,,,,718
32.4,479121,239288,359052,718000,69.1,32.4,49.3,,,,,719
31.6,479814,239604,359552,719000,69.3,31.6,50,,,,,720
32.7,480476,239931,360037,720000,66.2,32.7,48.5,,,,,721
35.8,481156,240289,360531,721000,68,35.8,49.4,,,,,722
30.6,481830,240595,361041,722000,67.4,30.6,51,,,,,723
31,482510,240905,361534,723000,68,31,49.3,,,,,724
34.1,483173,241246,362054,724000,66.3,34.1,52,,,,,725
32.8,483853,241574,362539,725000,68,32.8,48.5,,,,,726
30.1,484498,241875,363033,726000,64.5,30.1,49.4,,,,,727
33.9,485151,242214,363524,727000,65.3,33.9,49.1,,,,,728
36.4,485815,242578,364011,728000,66.4,36.4,48.7,,,,,729
33.4,486487,242912,364521,729000,67.2,33.4,51,,,,,730
32.6,487155,243238,365027,730000,66.8,32.6,50.6,,,,,731
32.7,487825,243565,365511,731000,67,32.7,48.4,,,,,732
34.5,488500,243910,366023,732000,67.5,34.5,51.2,,,,,733
31.9,489151,244229,366538,733000,65.1,31.9,51.5,,,,,734
32.3,489809,244552,367035,734000,65.8,32.3,49.7,,,,,735
31.4,490468,244866,367563,735000,65.9,31.4,52.8,,,,,736
32.5,491143,245191,368042,736000,67.5,32.5,47.9,,,,,737
30.1,491777,245492,368567,737000,63.4,30.1,52.5,,,,,738
32.3,492426,245815,369032,738000,64.9,32.3,46.5,,,,,739
31.6,493110,246131,369529,739000,68.4,31.6,49.7,,,,,740
34.5,493785,246476,370037,740000,67.5,34.5,50.8,,,,,741
33.1,494469,246807,370529,741000,68.4,33.1,49.2,,,,,742
34,495153,247147,371019,742000,68.4,34,49,,,,,743
35.3,495827,247500,371515,743000,67.4,35.3,49.6,,,,,744
32.5,496493,247825,372020,744000,66.6,32.5,50.5,,,,,745
33.1,497153,248156,372545,745000,66,33.1,52.5,,,,,746
32.3,497832,248479,373049,746000,67.9,32.3,50.4,,,,,747
31.8,498498,248797,373536,747000,66.6,31.8,48.7,,,,,748
34.1,499166,249138,374033,748000,66.8,34.1,49.7,,,,,749
33.4,499836,249472,374496,749000,67,33.4,46.3,,,,,750
33.7,500496,249809,375000,750000,66,33.7,50.4,,,,,751
35.1,501163,250160,375485,751000,66.7,35.1,48.5,,,,,752
31.7,501836,250477,375996,752000,67.3,31.7,51.1,,,,,753
32.9,502502,250806,376474,753000,66.6,32.9,47.8,,,,,754
33.6,503158,251142,376965,754000,65.6,33.6,49.1,,,,,755
33.6,503842,251478,377480,755000,68.4,33.6,51.5,,,,,756
33,504510,251808,378001,756000,66.8,33,52.1,,,,,757
30.5,505182,252113,378505,757000,67.2,30.5,50.4,,,,,758
33.5,505842,252448,379016,758000,66,33.5,51.1,,,,,759
31.6,506506,252764,379527,759000,66.4,31.6,51.1,,,,,760
33.1,507182,253095,380030,760000,67.6,33.1,50.3,,,,,761
33.7,507839,253432,380525,761000,65.7,33.7,49.5,,,,,762
33.9,508515,253771,381041,762000,67.6,33.9,51.6,,,,,763
35.6,509167,254127,381561,763000,65.2,35.6,52,,,,,764
31,509843,254437,382062,764000,67.6,31,50.1,,,,,765
33,510508,254767,382532,765000,66.5,33,47,,,,,766
33.1,511180,255098,383045,766000,67.2,33.1,51.3,,,,,767
32.5,511832,255423,383582,767000,65.2,32.5,53.7,,,,,768
35,512488,255773,384085,768000,65.6,35,50.3,,,,,769
33,513159,256103,384589,769000,67.1,33,50.4,,,,,770
33.4,513809,256437,385084,770000,65,33.4,49.5,,,,,771
33.3,514423,256770,385587,771000,61.4,33.3,50.3,,,,,772
32.2,515110,257092,386063,772000,68.7,32.2,47.6,,,,,773
34.5,515792,257437,386557,773000,68.2,34.5,49.4,,,,,774
34.4,516469,257781,387084,774000,67.7,34.4,52.7,,,,,775
33.4,517109,258115,387549,775000,64,33.4,46.5,,,,,776
34.2,517774,258457,388051,776000,66.5,34.2,50.2,,,,,777
32.8,518444,258785,388554,777000,67,32.8,50.3,,,,,778
31.2,519106,259097,389086,778000,66.2,31.2,53.2,,,,,779
34,519760,259437,389577,779000,65.4,34,49.1,,,,,780
32.2,520426,259759,390063,780000,66.6,32.2,48.6,,,,,781
34.4,521118,260103,390561,781000,69.2,34.4,49.8,,,,,782
33.2,521774,260435,391041,782000,65.6,33.2,48,,,,,783
34.2,522446,260777,391514,783000,67.2,34.2,47.3,,,,,784
33.8,523093,261115,392002,784000,64.7,33.8,48.8,,,,,785
33,523759,261445,392491,785000,66.6,33,48.9,,,,,786
32.6,524417,261771,392997,786000,65.8,32.6,50.6,,,,,787
34.4,525085,262115,393497,787000,66.8,34.4,50,,,,,788
31.8,525731,262433,393980,788000,64.6,31.8,48.3,,,,,789
32.6,526377,262759,394498,789000,64.6,32.6,51.8,,,,,790
34.7,527067,263106,394984,790000,69,34.7,48.6,,,,,791
32,527753,263426,395500,791000,68.6,32,51.6,,,,,792
35,528430,263776,395984,792000,67.7,35,48.4,,,,,793
33,529108,264106,396497,793000,67.8,33,51.3,,,,,794
30.9,529790,264415,397026,794000,68.2,30.9,52.9,,,,,795
36.2,530473,264777,397516,795000,68.3,36.2,49,,,,,796
34,531153,265117,398050,796000,68,34,53.4,,,,,797
32,531823,265437,398556,797000,67,32,50.6,,,,,798
32.3,532512,265760,399044,798000,68.9,32.3,48.8,,,,,799
32.2,533191,266082,399540,799000,67.9,32.2,49.6,,,,,800
32.3,533864,266405,400053,800000,67.3,32.3,51.3,,,,,801
31.7,534574,266722,400569,801000,71,31.7,51.6,,,,,802
32.4,535268,267046,401079,802000,69.4,32.4,51,,,,,803
31.2,535944,267358,401573,803000,67.6,31.2,49.4,,,,,804
32.4,536596,267682,402066,804000,65.2,32.4,49.3,,,,,805
34.4,537244,268026,402553,805000,64.8,34.4,48.7,,,,,806
35.9,537896,268385,403061,806000,65.2,35.9,50.8,,,,,807
34.8,538575,268733,403558,807000,67.9,34.8,49.7,,,,,808
35.6,539255,269089,404060,808000,68,35.6,50.2,,,,,809
32.2,539910,269411,404563,809000,65.5,32.2,50.3,,,,,810
32.9,540586,269740,405044,810000,67.6,32.9,48.1,,,,,811
34.6,541234,270086,405563,811000,64.8,34.6,51.9,,,,,812
30.6,541897,270392,406073,812000,66.3,30.6,51,,,,,813
32.8,542544,270720,406556,813000,64.7,32.8,48.3,,,,,814
33.6,543192,271056,407047,814000,64.8,33.6,49.1,,,,,815
34.4,543844,271400,407534,815000,65.2,34.4,48.7,,,,,816
30.5,544519,271705,408019,816000,67.5,30.5,48.5,,,,,817
32,545172,272025,408524,817000,65.3,32,50.5,,,,,818
31.4,545844,272339,409029,818000,67.2,31.4,50.5,,,,,819
31.3,546505,272652,409491,819000,66.1,31.3,46.2,,,,,820
32.8,547176,272980,410000,820000,67.1,32.8,50.9,,,,,821
31.4,547831,273294,410503,821000,65.5,31.4,50.3,,,,,822
36.3,548488,273657,410997,822000,65.7,36.3,49.4,,,,,823
