bell_curve_freq,switch_wins_counting_list,stay_wins_counting_list,random_wins_counting_list,exp_index,switch_winning_percentages,stay_winning_percentages,random_winning_percentages,stay_winning_percent.,pie_chart_measures,,,trial
32.3,61824,30930,46348,92000,66,32.3,50.2,,,,,93
34.6,62526,31276,46846,93000,70.2,34.6,49.8,,,,,94
35.4,63200,31630,47320,94000,67.4,35.4,47.4,,,,,95
31.9,63875,31949,47819,95000,67.5,31.9,49.9,,,,,96
32.6,64537,32275,48310,96000,66.2,32.6,49.1,,,,,97
34.9,65227,32624,48825,97000,69,34.9,51.5,,,,,98
34.8,65906,32972,49345,98000,67.9,34.8,52,,,,,99
35,66580,33322,49856,99000,67.4,35,51.1,,,,,100
32.9,67228,33651,50352,100000,64.8,32.9,49.6,,,,,101
32.1,67875,33972,50848,101000,64.7,32.1,49.6,,,,,102
30.6,68539,34278,51343,102000,66.4,30.6,49.5,,,,,103
33.8,69174,34616,51841,103000,63.5,33.8,49.8,,,,,104
35.3,69835,34969,52354,104000,66.1,35.3,51.3,,,,,105
36,70501,35329,52869,105000,66.6,36,51.5,,,,,106
33.4,71166,35663,53361,106000,66.5,33.4,49.2,,,,,107
30.9,71819,35972,53869,107000,65.3,30.9,50.8,,,,,108
34.9,72471,36321,54355,108000,65.2,34.9,48.6,,,,,109
30.7,73148,36628,54859,109000,67.7,30.7,50.4,,,,,110
32.4,73779,36952,55359,110000,63.1,32.4,50,,,,,111
32.4,74442,37276,55841,111000,66.3,32.4,48.2,,,,,112
32.8,75095,37604,56311,112000,65.3,32.8,47,,,,,113
31.3,75763,37917,56817,113000,66.8,31.3,50.6,,,,,114
34.2,76429,38259,57283,114000,66.6,34.2,46.6,,,,,115
31.3,77085,38572,57769,115000,65.6,31.3,48.6,,,,,116
33.8,77748,38910,58290,116000,66.3,33.8,52.1,,,,,117
35,78418,39260,58809,117000,67,35,51.9,,,,,118
34.2,79078,39602,59297,118000,66,34.2,48.8,,,,,119
32.5,79733,39927,59772,119000,65.5,32.5,47.5,,,,,120
34.2,80417,40269,60260,120000,68.4,34.2,48.8,,,,,121
34.4,81088,40613,60771,121000,67.1,34.4,51.1,,,,,122
34.4,81757,40957,61280,122000,66.9,34.4,50.9,,,,,123
32.4,82421,41281,61796,123000,66.4,32.4,51.6,,,,,124
32.4,83099,41605,62285,124000,67.8,32.4,48.9,,,,,125
34.9,83771,41954,62793,125000,67.2,34.9,50.8,,,,,126
31.8,84444,42272,63311,126000,67.3,31.8,51.8,,,,,127
32.8,85112,42600,63812,127000,66.8,32.8,50.1,,,,,128
32.2,85785,42922,64302,128000,67.3,32.2,49,,,,,129
35.3,86465,43275,64787,129000,68,35.3,48.5,,,,,130
35.6,87122,43631,65270,130000,65.7,35.6,48.3,,,,,131
35.8,87764,43989,65776,131000,64.2,35.8,50.6,,,,,132
35.3,88441,44342,66287,132000,67.7,35.3,51.1,,,,,133
32.1,89116,44663,66798,133000,67.5,32.1,51.1,,,,,134
33.2,89786,44995,67299,134000,67,33.2,50.1,,,,,135
32.4,90458,45319,67798,135000,67.2,32.4,49.9,,,,,136
31.9,91106,45638,68259,136000,64.8,31.9,46.1,,,,,137
34.8,91765,45986,68745,137000,65.9,34.8,48.6,,,,,138
36,92416,46346,69262,138000,65.1,36,51.7,,,,,139
33.5,93088,46681,69764,139000,67.2,33.5,50.2,,,,,140
33.5,93754,47016,70269,140000,66.6,33.5,50.5,,,,,141
34.5,94422,47361,70769,141000,66.8,34.5,50,,,,,142
31.8,95091,47679,71270,142000,66.9,31.8,50.1,,,,,143
32.4,95763,48003,71747,143000,67.2,32.4,47.7,,,,,144
35,96408,48353,72255,144000,64.5,35,50.8,,,,,145
31.3,97046,48666,72767,145000,63.8,31.3,51.2,,,,,146
33.6,97731,49002,73277,146000,68.5,33.6,51,,,,,147
32.1,98421,49323,73779,147000,69,32.1,50.2,,,,,148
33.1,99066,49654,74269,148000,64.5,33.1,49,,,,,149
34.4,99739,49998,74762,149000,67.3,34.4,49.3,,,,,150
33,100443,50328,75282,150000,70.4,33,52,,,,,151
34.5,101118,50673,75810,151000,67.5,34.5,52.8,,,,,152
30,101785,50973,76297,152000,66.7,30,48.7,,,,,153
32.9,102463,51302,76797,153000,67.8,32.9,50,,,,,154
32.7,103115,51629,77286,154000,65.2,32.7,48.9,,,,,155
35.9,103778,51988,77787,155000,66.3,35.9,50.1,,,,,156
32,104447,52308,78283,156000,66.9,32,49.6,,,,,157
33.9,105117,52647,78789,157000,67,33.9,50.6,,,,,158
33,105827,52977,79281,158000,71,33,49.2,,,,,159
31.8,106483,53295,79770,159000,65.6,31.8,48.9,,,,,160
30.5,107153,53600,80304,160000,67,30.5,53.4,,,,,161
35.2,107811,53952,80798,161000,65.8,35.2,49.4,,,,,162
35,108465,54302,81325,162000,65.4,35,52.7,,,,,163
33.7,109121,54639,81795,163000,65.6,33.7,47,,,,,164
34.5,109791,54984,82313,164000,67,34.5,51.8,,,,,165
33.7,110465,55321,82786,165000,67.4,33.7,47.3,,,,,166
33.5,111147,55656,83286,166000,68.2,33.5,50,,,,,167
33.3,111798,55989,83770,167000,65.1,33.3,48.4,,,,,168
33.7,112478,56326,84269,168000,68,33.7,49.9,,,,,169
32.9,113150,56655,84786,169000,67.2,32.9,51.7,,,,,170
34.7,113795,57002,85284,170000,64.5,34.7,49.8,,,,,171
34.1,114464,57343,85787,171000,66.9,34.1,50.3,,,,,172
31.5,115131,57658,86277,172000,66.7,31.5,49,,,,,173
29.5,115781,57953,86792,173000,65,29.5,51.5,,,,,174
33.8,116433,58291,87315,174000,65.2,33.8,52.3,,,,,175
34.8,117099,58639,87818,175000,66.6,34.8,50.3,,,,,176
33.9,117787,58978,88337,176000,68.8,33.9,51.9,,,,,177
31.1,118433,59289,88851,177000,64.6,31.1,51.4,,,,,178
35.9,119093,59648,89358,178000,66,35.9,50.7,,,,,179
33,119765,59978,89873,179000,67.2,33,51.5,,,,,180
30,120406,60278,90336,180000,64.1,30,46.3,,,,,181
32.2,121079,60600,90844,181000,67.3,32.2,50.8,,,,,182
32.5,121754,60925,91354,182000,67.5,32.5,51,,,,,183
31.5,122407,61240,91897,183000,65.3,31.5,54.3,,,,,184
32.3,123053,61563,92373,184000,64.6,32.3,47.6,,,,,185
32.1,123693,61884,92875,185000,64,32.1,50.2,,,,,186
32.6,124358,62210,93381,186000,66.5,32.6,50.6,,,,,187
34.6,125033,62556,93875,187000,67.5,34.6,49.4,,,,,188
32.3,125714,62879,94367,188000,68.1,32.3,49.2,,,,,189
32.1,126366,63200,94874,189000,65.2,32.1,50.7,,,,,190
34.5,127041,63545,95361,190000,67.5,34.5,48.7,,,,,191
31.9,127680,63864,95862,191000,63.9,31.9,50.1,,,,,192
31,128368,64174,96365,192000,68.8,31,50.3,,,,,193
31.8,129046,64492,96852,193000,67.8,31.8,48.7,,,,,194
34.2,129729,64834,97337,194000,68.3,34.2,48.5,,,,,195
33,130390,65164,97821,195000,66.1,33,48.4,,,,,196
30.3,131061,65467,98331,196000,67.1,30.3,51,,,,,197
32.6,131703,65793,98825,197000,64.2,32.6,49.4,,,,,198
